=== METRICS: train/normal ===

Normal (1568).png: DSC=0.8047, IoU=0.6733, Sens=0.6839, Spec=0.9958, MCC=0.7816, Kappa=0.7635, HD95=34.87, NSD=0.2621
Normal (1569).png: DSC=0.8793, IoU=0.7846, Sens=0.8961, Spec=0.9324, MCC=0.8206, Kappa=0.8203, HD95=26.97, NSD=0.5086
Normal (1570).png: DSC=0.8967, IoU=0.8127, Sens=0.8271, Spec=0.9921, MCC=0.8620, Kappa=0.8560, HD95=13.48, NSD=0.3759
Normal (1571).png: DSC=0.7390, IoU=0.5860, Sens=0.6182, Spec=0.9747, MCC=0.6738, Kappa=0.6503, HD95=63.61, NSD=0.2846
Normal (1572).png: DSC=0.8803, IoU=0.7862, Sens=0.7967, Spec=0.9946, MCC=0.8475, Kappa=0.8391, HD95=13.00, NSD=0.3922
Normal (1573).png: DSC=0.9203, IoU=0.8524, Sens=0.8758, Spec=0.9884, MCC=0.8914, Kappa=0.8892, HD95=9.90, NSD=0.5075
Normal (1574).png: DSC=0.9443, IoU=0.8946, Sens=0.9415, Spec=0.9679, MCC=0.9105, Kappa=0.9105, HD95=10.13, NSD=0.6487
Normal (1575).png: DSC=0.8121, IoU=0.6837, Sens=0.7828, Spec=0.9514, MCC=0.7532, Kappa=0.7522, HD95=18.41, NSD=0.1607
Normal (1576).png: DSC=0.9147, IoU=0.8428, Sens=0.9497, Spec=0.9630, MCC=0.8897, Kappa=0.8886, HD95=10.81, NSD=0.4864
Normal (1577).png: DSC=0.8773, IoU=0.7814, Sens=0.9074, Spec=0.9538, MCC=0.8414, Kappa=0.8406, HD95=14.14, NSD=0.3980
