=== METRICS: train/covid-19 ===

covid_47.png: DSC=0.8858, IoU=0.7950, Sens=0.9267, Spec=0.9650, MCC=0.8616, Kappa=0.8604, HD95=23.00, NSD=0.2341
covid_49.png: DSC=0.8103, IoU=0.6810, Sens=0.6934, Spec=0.9958, MCC=0.7911, Kappa=0.7752, HD95=57.94, NSD=0.2656
covid_5.png: DSC=0.7575, IoU=0.6097, Sens=0.6212, Spec=0.9920, MCC=0.7138, Kappa=0.6840, HD95=100.45, NSD=0.1926
covid_50.png: DSC=0.8170, IoU=0.6907, Sens=0.7072, Spec=0.9957, MCC=0.8030, Kappa=0.7902, HD95=33.11, NSD=0.2078
covid_52.png: DSC=0.8697, IoU=0.7694, Sens=0.8256, Spec=0.9724, MCC=0.8261, Kappa=0.8240, HD95=31.38, NSD=0.1885
covid_54.png: DSC=0.4848, IoU=0.3200, Sens=0.3200, Spec=1.0000, MCC=0.5282, Kappa=0.4364, HD95=166.82, NSD=0.0286
covid_55.png: DSC=0.8289, IoU=0.7078, Sens=0.7161, Spec=0.9973, MCC=0.8108, Kappa=0.7965, HD95=33.24, NSD=0.1895
covid_56.png: DSC=0.7601, IoU=0.6131, Sens=0.6450, Spec=0.9847, MCC=0.7226, Kappa=0.7049, HD95=56.59, NSD=0.1673
covid_6.png: DSC=0.7359, IoU=0.5822, Sens=0.5872, Spec=0.9959, MCC=0.6919, Kappa=0.6522, HD95=59.49, NSD=0.1901
covid_60.png: DSC=0.8215, IoU=0.6971, Sens=0.7120, Spec=0.9949, MCC=0.8005, Kappa=0.7868, HD95=32.00, NSD=0.2264
covid_61.png: DSC=0.7002, IoU=0.5387, Sens=0.5395, Spec=0.9997, MCC=0.7000, Kappa=0.6584, HD95=48.10, NSD=0.1653
covid_62.png: DSC=0.8272, IoU=0.7053, Sens=0.7115, Spec=0.9967, MCC=0.7936, Kappa=0.7757, HD95=46.00, NSD=0.2726
covid_64.png: DSC=0.8767, IoU=0.7805, Sens=0.7893, Spec=0.9954, MCC=0.8434, Kappa=0.8340, HD95=23.09, NSD=0.1348
covid_65.png: DSC=0.3784, IoU=0.2333, Sens=0.2333, Spec=1.0000, MCC=0.4411, Kappa=0.3258, HD95=179.38, NSD=0.0000
covid_66.png: DSC=0.4369, IoU=0.2795, Sens=0.3188, Spec=0.9751, MCC=0.4143, Kappa=0.3780, HD95=168.15, NSD=0.0804
covid_67.png: DSC=0.6294, IoU=0.4592, Sens=0.4729, Spec=0.9904, MCC=0.6067, Kappa=0.5572, HD95=306.39, NSD=0.1250
covid_69.png: DSC=0.6418, IoU=0.4725, Sens=0.5078, Spec=0.9766, MCC=0.5969, Kappa=0.5655, HD95=222.17, NSD=0.0757
covid_7.png: DSC=0.4622, IoU=0.3005, Sens=0.3050, Spec=0.9952, MCC=0.4814, Kappa=0.3911, HD95=142.95, NSD=0.0979
covid_71.png: DSC=0.9174, IoU=0.8474, Sens=0.9278, Spec=0.9674, MCC=0.8887, Kappa=0.8886, HD95=17.00, NSD=0.2036
covid_72.png: DSC=0.9119, IoU=0.8380, Sens=0.8885, Spec=0.9875, MCC=0.8946, Kappa=0.8941, HD95=14.00, NSD=0.1234
covid_76.png: DSC=0.8443, IoU=0.7305, Sens=0.7378, Spec=0.9974, MCC=0.8238, Kappa=0.8111, HD95=44.57, NSD=0.3346
covid_77.png: DSC=0.7950, IoU=0.6598, Sens=0.6629, Spec=0.9990, MCC=0.7828, Kappa=0.7615, HD95=62.29, NSD=0.2333
covid_78.png: DSC=0.6194, IoU=0.4487, Sens=0.4488, Spec=0.9999, MCC=0.6231, Kappa=0.5596, HD95=94.76, NSD=0.0607
covid_79.png: DSC=0.6375, IoU=0.4679, Sens=0.4968, Spec=0.9678, MCC=0.5606, Kappa=0.5197, HD95=93.40, NSD=0.1386
covid_80.png: DSC=0.2107, IoU=0.1178, Sens=0.1213, Spec=0.9878, MCC=0.2416, Kappa=0.1453, HD95=85.00, NSD=0.1180
covid_81.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=0.8775, MCC=-0.1158, Kappa=-0.1155, HD95=287.83, NSD=0.0000
covid_83.png: DSC=0.8846, IoU=0.7931, Sens=0.7965, Spec=0.9989, MCC=0.8678, Kappa=0.8599, HD95=21.63, NSD=0.1990
covid_89.png: DSC=0.8844, IoU=0.7927, Sens=0.8092, Spec=0.9839, MCC=0.8187, Kappa=0.8090, HD95=32.03, NSD=0.2248
covid_9.png: DSC=0.3948, IoU=0.2460, Sens=0.2460, Spec=1.0000, MCC=0.4241, Kappa=0.3050, HD95=172.47, NSD=0.0143
covid_92.png: DSC=0.8028, IoU=0.6705, Sens=0.7191, Spec=0.9789, MCC=0.7618, Kappa=0.7537, HD95=43.97, NSD=0.1020
covid_95.png: DSC=0.8708, IoU=0.7711, Sens=0.8219, Spec=0.9804, MCC=0.8377, Kappa=0.8353, HD95=32.08, NSD=0.1866
covid_96.png: DSC=0.9150, IoU=0.8434, Sens=0.9023, Spec=0.9646, MCC=0.8731, Kappa=0.8729, HD95=23.71, NSD=0.1528
covid_97.png: DSC=0.4676, IoU=0.3052, Sens=0.3093, Spec=0.9955, MCC=0.4850, Kappa=0.3943, HD95=178.68, NSD=0.1159
