=== METRICS: train/tb ===

DARCXR_415.png: DSC=0.8351, IoU=0.7169, Sens=0.7812, Spec=0.9567, MCC=0.7672, Kappa=0.7635, HD95=31.93, NSD=0.4570
DARCXR_416.png: DSC=0.7997, IoU=0.6663, Sens=0.6960, Spec=0.9789, MCC=0.7401, Kappa=0.7244, HD95=33.00, NSD=0.3954
DARCXR_417.png: DSC=0.8436, IoU=0.7295, Sens=0.7325, Spec=0.9977, MCC=0.7947, Kappa=0.7757, HD95=24.90, NSD=0.3873
DARCXR_418.png: DSC=0.6537, IoU=0.4855, Sens=0.5840, Spec=0.8961, MCC=0.5138, Kappa=0.5063, HD95=33.00, NSD=0.1999
DARCXR_419.png: DSC=0.7156, IoU=0.5572, Sens=0.5683, Spec=0.9876, MCC=0.6469, Kappa=0.6031, HD95=41.78, NSD=0.1842
DARCXR_420.png: DSC=0.8146, IoU=0.6872, Sens=0.7780, Spec=0.9519, MCC=0.7528, Kappa=0.7513, HD95=25.00, NSD=0.3051
DARCXR_421.png: DSC=0.5440, IoU=0.3736, Sens=0.3766, Spec=0.9938, MCC=0.4917, Kappa=0.3982, HD95=70.26, NSD=0.0974
DARCXR_422.png: DSC=0.7335, IoU=0.5792, Sens=0.5960, Spec=0.9853, MCC=0.6743, Kappa=0.6410, HD95=32.57, NSD=0.3435
DARCXR_425.png: DSC=0.6412, IoU=0.4719, Sens=0.4729, Spec=0.9988, MCC=0.5991, Kappa=0.5300, HD95=30.07, NSD=0.1298
DARCXR_426.png: DSC=0.6473, IoU=0.4785, Sens=0.4787, Spec=0.9998, MCC=0.6171, Kappa=0.5519, HD95=53.48, NSD=0.1572
DARCXR_428.png: DSC=0.6718, IoU=0.5058, Sens=0.5064, Spec=0.9995, MCC=0.6469, Kappa=0.5908, HD95=28.62, NSD=0.1685
MCUCXR_117_1.png: DSC=0.8392, IoU=0.7230, Sens=0.8297, Spec=0.9686, MCC=0.8056, Kappa=0.8055, HD95=13.00, NSD=0.3546
MCUCXR_126_1.png: DSC=0.8193, IoU=0.6938, Sens=0.7443, Spec=0.9755, MCC=0.7730, Kappa=0.7664, HD95=36.00, NSD=0.3924
MCUCXR_140_1.png: DSC=0.8645, IoU=0.7613, Sens=0.9359, Spec=0.9187, MCC=0.8159, Kappa=0.8113, HD95=25.82, NSD=0.4493
MCUCXR_141_1.png: DSC=0.8113, IoU=0.6825, Sens=0.7431, Spec=0.9504, MCC=0.7271, Kappa=0.7203, HD95=27.07, NSD=0.2272
MCUCXR_142_1.png: DSC=0.9378, IoU=0.8829, Sens=0.9311, Spec=0.9821, MCC=0.9177, Kappa=0.9177, HD95=5.39, NSD=0.5715
MCUCXR_144_1.png: DSC=0.8834, IoU=0.7911, Sens=0.8617, Spec=0.9661, MCC=0.8411, Kappa=0.8406, HD95=13.45, NSD=0.3100
